"doc_id","in_db","status_id","old_status_id","unaccounted_status","active","region","report_check_act_link","report_date","report_project_date_start","report_project_date_end","url"
"23661","True","5","","","","Москва","","","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23661"
"23481","True","4","","","","Омская область","","01.01.2023","2023-07-24 00:00:00","2023-08-22 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23481"
"23501","True","1","","","","Ханты-Мансийский АО","","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23501"
"23641","True","1","","","","Челябинская область","http://195.161.118.19/fdgko/pers_stor/73842/69721/Челябинская область 24.05.2022 79-П.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23641"
"23642","True","1","","","","Удмуртская Республика","http://195.161.118.19/fdgko/pers_stor/73843/69722/110-р с изм.197-р и 1417-р.rar","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23642"
"23381","True","1","","","","Чукотский АО","","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23381"
"23401","True","4","","","","Ямало-Ненецкий АО","","01.01.2023","2023-08-02 00:00:00","2023-08-17 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23401"
"23421","True","4","","","","Ярославская область","","01.01.2023","2023-07-27 00:00:00","2023-08-25 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi3QNNXA2dTQy93UOdzAwcPQO8nMI8nQ0MDMz1w9EUBBqaAxU4ehsaG7obGPgb6keRph9DAUi_AQ7gaADUH4VmBaoLnI0IKAA5kZAlBbmhEQaZnooANTW-bQ!!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23421"
"23140","True","1","","","","Ульяновская область","","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkr2ahFhQllS6l1h1yMA52WZ_f9tjhUj3dtzn-4MDDhXwTrxkI5zUnWj9XvPlLTtGG5ZGbJed10tM8mK7vuQpIsZw_QKOLPZAsmMLliEeGPD_9D9A0OPIJOj1_Cvis0E6nwBCxamQ2peMR0uuEMrg8dCdM7ptyUDdSutO1GvjbDgZsk4bKsla_9fSCUdQOzNQOPZGP-g5GCpEI7tm1ouG9oO6B5859OpcoSyUWi3UG9Vg13c!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23140"
"23132","True","1","","","","Московская область","","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-6Wkb2qhFhQlli5l1h2yMA52WZ_f9tjRUT3dtzn-4MDDhfgg3jITjipB9H7veHLa35YrFm2YNu8TpeYFOUmPRUZIsZwfgMOLPZAsmURyxH3DPh_-g8g6PHLJOj1_C3itUE2_wGEir9CGl8y_lpyhVAFj1YPzui-JwNNL6070qiNs-FkyDptqCJr_V8rJxxB48xE4Tga3dJ9MlSKTg7dbBQd7SZ1Cz4RjKq-oCyVWkXqCaOB2Oo!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23132"
"22604","True","1","","","","Республика Ингушетия","http://195.161.118.19/fdgko/pers_stor/69184/64503/Ингушетия_29.06.2022_335-р.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-6Wob2ahFRQllS6l1h1yMA52WZ_f9tjhUj3dtzn-4MDDhXwTrxkI5zUnWj9XvP4lh8Xa5Yt2C4_r2JMN8V2ddlkiJjA9Qs4ssQD6Y5FLEc8MOD_6X-AoMeRSdHr-VfEZ4NsPgGEilMhtS-ZjJZcIpTB46E7Z3TbkoG6ldadqNfG2XAyZJ02VJK1_q-lE46gdmagcOyNftBzMFSIRnbNrBcN7Qd1Dz4x9OpcoSyUWkbqDc7ve24!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=22604"
"21501","True","1","","","","Чувашская Республика","http://195.161.118.19/fdgko/pers_stor/67461/62721/Чувашия от 18.03.2022 № 236-р.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkb6ahFhQlli5l1h2yMA52WZ_f9tjRkT3dtzn-4MDDlfgvXjKVjipe9H5vearW3Zcbli6ZLusWq8wyYvt-pyniBjBZQIcWeSBZMcWLEM8MOD_6T-AoMcvk6DX80nEe4N0_gMIFX-F1L5k9LVkjFAGj0b3zuiuIwN1J6070aCNs-FkyDptqCRr_V9LJxxB7cxI4TgY3dBjNFSIVvbtbBAt7Ud1Dz4xDKq6oiyUihfqBU664KU!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=21501"
"23134","True","1","","","","Республика Коми","","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-6Wkb2qhFhQlli5l1h2yMA52WZ_f9tjRUT3dtzn-4MDDhfgg3jITjipB9H7veHLa35YrFm2YNu8TpeYFOUmPRUZIsZwfgMOLPZAsmURyxH3DPh_-g8g6PHLJOj1_C3itUE2_wGEir9CGl8y_lpyhVAFj1YPzui-JwNNL6070qiNs-FkyDptqCJr_V8rJxxB48xE4Tga3dJ9MlSKTg7dbBQd7SZ1Cz4RjKq-oCyVWkXqCaOB2Oo!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23134"
"19501","True","1","","","","Ленинградская область","http://195.161.118.19/fdgko/pers_stor/64304/59441/05.04.2021 168-р Ленинградская обл ГКО 2023.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkr2ahFhQllS6l1h1yMA52WZ_f9tjhUj3dtzn-4MDDhXwTrxkI5zUnWj9XvPlLTtGG5ZGbJed10tM8mK7vuQpIsZw_QKOLPZAsmMLliEeGPD_9D9A0OPIJOj1_Cvis0E6nwBCxamQ2peMR0uuEMrg8dCdM7ptyUDdSutO1GvjbDgZsk4bKsla_9fSCUdQOzNQOPZGP-g5GCpEI7tm1ouG9oO6Bx82h16dK5SFUquFegOqVZPw/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=19501"
"23122","True","4","","","","Белгородская область","","01.01.2023","2023-08-08 00:00:00","2023-09-06 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDbCsIwDIbfyKROnbfbkKGCToeH9UaqhlFY19F2Pr_tpRMZ5i7k-w8EOFyBt-Ila-GkbkXj94ovbvlhtmLZjG3zU7rAZF1s0vM6Q8QYLgPgwGIPJFsWsRxxz4D_p_8Cgh5_TIJezwcRnw2y6QgQKo6FVL5k_LPkEqEMHg_dOqObhgxUjbTuSJ02zoaTIeu0oZKs9X8tnXAElTM9hWNn9IOevaFC1LKtJ52oadere_CZQ6dOV5SFUstIvQEVyhoS/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=23122"
"21881","True","4","","","","Брянская область","","01.01.2023","2023-08-07 00:00:00","2023-09-05 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDbCsIwDIbfyKRONm_nkDEFnQ4P643UGUZhXUfb-fy2lypDzF3I9x8IcLgC78VTtsJJ3YvO7zWPb_lhsWbZgm3z0yrGtCg3q3ORIWIClw_gwBIPpFsWsRxxz4D_p_8Cgh4nJkWv5x8R7w2y-Q8gVPwVUvuSyWTJJUIVPBrdO6O7jgzUnbTuSIM2zoaTIeu0oYqs9X-tnHAEtTMjheNgdEOP0VApWtm3s0G0tBvVPfgkMKjTFWWp1DJSL7gOdPM!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=21881"
"20941","True","1","","","","Республика Бурятия","http://195.161.118.19/fdgko/pers_stor/67081/62321/Бурятия 2 от 13.01.2022.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDbCsIwDIbfyKQqm15uQ4YOdDo8rDdSNYzCuo628_ltL52ImLuQ7z8Q4HAB3omnbISTuhOt32seXfP9fMWyOSvyYxphsi436WmdIWIM5xGwZ7EHkoLNWI64Y8D_038AQY9fJkGv56OI9wbZ9AcQKv4KqX3J-GvJBUIVPO66c0a3LRmoW2ndgXptnA0nQ9ZpQxVZ6_9aOeEIamcGCsfe6Ds9BkOlaGTXTHrR0HZQt-CzhF4dLyhLpRYz9QI4W-84/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=20941"
"18801","True","1","","","","Астраханская область","http://195.161.118.19/fdgko/pers_stor/63622/58702/15.03.21 187 Астраханская обл ГКО 2022,2023.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDbCsIwDIbfyKROnbfbkKGCToeH9UaqhlFY19F2Pr_tpRMZ5i7k-w8EOFyBt-Ila-GkbkXj94ovbvlhtmLZjG3zU7rAZF1s0vM6Q8QYLgPgwGIPJFsWsRxxz4D_p_8Cgh5_TIJezwcRnw2y6QgQKo6FVL5k_LPkEqEMHg_dOqObhgxUjbTuSJ02zoaTIeu0oZKs9X8tnXAElTM9hWNn9IOevaFC1LKtJ52oadere_Bhc-jU6YqyUGoZqTdq_16V/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=18801"
"17042","True","1","","","","Республика Тыва","http://195.161.118.19/fdgko/pers_stor/62561/57521/93 от 21.12.2020.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkr2ahFhQllS6l1h1yMA52WZ_f9tjhUj3dtzn-4MDDhXwTrxkI5zUnWj9XvPlLTtGG5ZGbJed10tM8mK7vuQpIsZw_QKOLPZAsmMLliEeGPD_9D9A0OPIJOj1_Cvis0E6nwBCxamQ2peMR0uuEMrg8dCdM7ptyUDdSutO1GvjbDgZsk4bKsla_9fSCUdQOzNQOPZGP-g5GCpEI7tm1ouG9oO6B585Qq_OFcpCqdVCvQF--4AA/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=17042"
"10442","True","0","","Государственная кадастровая оценка отменена","","Хабаровский край","http://195.161.118.19/fdgko/pers_stor/56381/51322/2019 08 02_1434.pdf","","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-6Wkb2ahFRQllS6l1h1yMA52WZ_f9tjhkj3dtzn-4MDDiXwVrxlLZzUrWj8XvHlPTstNixdsH12WS8x2ea79XWbImIMtwFwYrEHkj2LWIZ4ZMD_0_8AQY8jk6DX80HEd4N0PgGEilMhlS8Zj5ZcIRTB46lbZ3TTkIGqkdadqdPG2XAyZJ02VJC1_q-FE46gcqancOyMftKrN5SLWrb1rBM1HXr1CD4Rg05dSpS5UqtIfQDgwXQk/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=10442"
